Article,Journal
1015,Nucl.Phys.Proc.Suppl.
10161,Phys.Lett.
10162,Phys.Rev.
10163,Phys.Lett.
10167,Class.Quant.Grav.
10168,Phys.Lett.
1016,Phys.Lett.
10171,Phys.Lett.
10172,Int.J.Mod.Phys.
10175,Phys.Rev.Lett.
10176,Annals
10177,Phys.Lett.
1017,Phys.Lett.
10180,Phys.Lett.
10181,Int.J.Mod.Phys.
10185,Phys.Lett.
10186,Phys.Lett.
10187,Nucl.Phys.
10191,Phys.Rev.
10192,Nucl.Phys.
10195,Class.Quant.Grav.
10196,Nucl.Phys.
10198,Fortsch.Phys.
1019,Phys.Rev.
102001,Phys.Rev.
102003,Class.Quant.Grav.
102006,Nucl.Phys.Proc.Suppl.
10200,Phys.Lett.
102010,J.Phys.
102013,Phys.Rev.
102014,Eur.Phys.J.
102016,JHEP
102017,JHEP
10201,JHEP
102020,Nucl.Phys.Proc.Suppl.
102023,Phys.Rev.
102024,Phys.Rev.
102029,Phys.Rev.
102031,JHEP
102033,Nucl.Phys.Proc.Suppl.
102035,Phys.Rev.
102036,J.Phys.
102045,JHEP
102046,Nucl.Phys.
102047,Phys.Rev.
10204,JHEP
102051,Phys.Lett.
102056,JHEP
10205,Nucl.Phys.
102060,Lett.Math.Phys.
102061,Phys.Lett.
102063,JHEP
102064,Mod.Phys.Lett.
102066,Mod.Phys.Lett.
102069,Theor.Math.Phys.
10206,JHEP
102071,JHEP
102073,Phys.Lett.
102074,Mod.Phys.Lett.
102079,Nucl.Phys.
102080,JHEP
102082,Phys.Lett.
102083,Class.Quant.Grav.
102087,J.Math.Phys.
102089,JHEP
102093,Phys.Rev.Lett.
102095,JHEP
102097,Phys.Rev.
102098,Phys.Lett.
102101,Int.J.Mod.Phys.
102104,Phys.Lett.
102106,Phys.Lett.
10210,Phys.Rev.
102111,Class.Quant.Grav.
102113,Phys.Rev.
102115,Eur.Phys.J.
102116,Eur.Phys.J.
102117,Eur.Phys.J.
102118,J.Phys.
102125,JHEP
102127,Phys.Lett.
102128,Nucl.Phys.
102129,Nucl.Phys.
102130,JHEP
102131,J.Math.Phys.
102134,Mod.Phys.Lett.
102135,Phys.Rev.
102142,Phys.Rev.
102144,Phys.Rev.
102145,Nucl.Phys.
102149,Class.Quant.Grav.
102150,Prog.Theor.Phys.
102151,JHEP
102153,J.Math.Phys.
102157,Nucl.Phys.
10215,Phys.Rev.
102160,Phys.Lett.
102161,Phys.Lett.
102165,Phys.Lett.
102166,Phys.Rev.Lett.
102168,Nucl.Phys.
102172,JHEP
102173,JHEP
102174,Phys.Rev.
102175,Mod.Phys.Lett.
102176,Phys.Lett.
102178,Nucl.Phys.
102179,Mod.Phys.Lett.
10217,JHEP
102180,Commun.Math.Phys.
102181,Phys.Rev.Lett.
102183,JHEP
102190,Lett.Math.Phys.
102192,Prog.Theor.Phys.
102193,Phys.Rev.
102197,Nucl.Phys.
10219,J.Math.Phys.
1021,Phys.Rev.
102201,JHEP
102205,Phys.Lett.
102208,Mod.Phys.Lett.
102210,Phys.Rev.
102212,Phys.Lett.
10223,JHEP
10227,Commun.Math.Phys.
10229,Phys.Rev.
10238,Phys.Rev.
10239,JHEP
10241,JHEP
10243,Phys.Rev.
1024,Commun.Math.Phys.
10251,JHEP
10252,JHEP
10253,Int.J.Mod.Phys.
10254,Int.J.Mod.Phys.
10256,Phys.Rev.
1025,Nucl.Phys.
10262,Phys.Rev.
10263,JHEP
10264,JHEP
10265,Nucl.Phys.
10268,Int.J.Mod.Phys.
10269,Nucl.Phys.
10271,J.Math.Phys.
10274,J.Math.Phys.
10275,JHEP
10276,Int.J.Mod.Phys.
1027,Nucl.Phys.
10280,Class.Quant.Grav.
10283,Phys.Rev.
10285,Phys.Rev.
10286,Prog.Theor.Phys.
10287,Phys.
10289,Phys.Lett.
1028,Nucl.Phys.Proc.Suppl.
10293,Commun.Math.Phys.
103005,Nucl.Phys.Proc.Suppl.
103006,J.Math.Phys.
103010,Phys.Rev.Lett.
103013,JHEP
103015,Nucl.Phys.
103019,JHEP
103021,Nucl.Phys.
103022,Phys.Rev.
103023,J.Geom.Phys.
103024,JHEP
103025,Phys.Rev.
103029,Phys.Lett.
103033,JHEP
103035,Class.Quant.Grav.
103036,Phys.Rev.
103038,Phys.Lett.
103039,Phys.Rev.
103040,Nucl.Phys.Proc.Suppl.
103041,Nucl.Phys.
103042,Phys.Rev.
103043,Int.J.Theor.Phys.
103044,Nucl.Phys.
103047,Nucl.Phys.
103049,Nucl.Phys.
103051,J.Phys.
103056,JHEP
103057,Mod.Phys.Lett.
103058,JHEP
103061,Phys.Rev.
103063,Phys.Lett.
103064,Nucl.Phys.
103065,Phys.Rev.
103067,Nucl.Phys.
103069,JHEP
103070,J.Math.Phys.
103073,Nucl.Phys.
103074,J.Math.Phys.
103075,Phys.Rev.
103077,Nucl.Phys.
103079,Phys.Rev.
103084,Nucl.Phys.Proc.Suppl.
103085,Phys.Lett.
103088,Nucl.Phys.Proc.Suppl.
103089,JHEP
103090,Phys.Rev.
103095,Class.Quant.Grav.
103098,JHEP
103101,Nucl.Phys.Proc.Suppl.
103106,Nucl.Phys.
103107,JHEP
103108,Phys.Lett.
103110,J.Phys.
103113,Lett.Math.Phys.
103115,Nucl.Phys.
103119,Class.Quant.Grav.
103123,Nucl.Phys.
103126,Phys.Rev.
103128,Phys.Rev.
103130,Nucl.Phys.
103136,Nucl.Phys.Proc.Suppl.
103143,Nucl.Phys.Proc.Suppl.
103145,Phys.Lett.
103146,JHEP
103148,Phys.Lett.
103149,Nucl.Phys.Proc.Suppl.
103152,Nucl.Phys.Proc.Suppl.
103153,JHEP
103154,Phys.Rev.
103155,Nucl.Phys.
103158,Prog.Theor.Phys.
103161,Nucl.Phys.Proc.Suppl.
103163,JHEP
103166,J.Phys.
103168,JHEP
103170,Adv.Theor.Math.Phys.
103175,Phys.Rev.
103180,Phys.Lett.
103182,Nucl.Phys.Proc.Suppl.
103183,JHEP
103186,Nucl.Phys.
103187,Prog.Theor.Phys.
103188,JHEP
103189,Eur.Phys.J.
103190,Nucl.Phys.
103191,Class.Quant.Grav.
103192,Prog.Theor.Phys.
103195,Phys.Rev.
103196,JHEP
1031,Phys.Lett.
103200,Phys.Rev.
103202,JHEP
103205,JHEP
103208,Theor.Math.Phys.
103211,Phys.Rev.
103215,Phys.Lett.
103217,JHEP
103219,Phys.Rev.
103220,Phys.Rev.
103222,Nucl.Phys.
103224,Phys.Rev.
103226,Prog.Theor.Phys.
103228,Annals
103229,JHEP
103232,J.Phys.
103233,Class.Quant.Grav.
103235,JHEP
103237,Nucl.Phys.
103238,Phys.Rev.
103239,Phys.Rev.
103240,Phys.Rev.
103242,Nucl.Phys.
103244,Phys.Rev.
103248,Class.Quant.Grav.
103249,Phys.Lett.
103252,Phys.Rev.
103255,Phys.Lett.
103258,J.Math.Phys.
103259,Class.Quant.Grav.
103261,Phys.Rev.
103263,J.Phys.
103264,Phys.Rev.
1032,Eur.Phys.J.
1034,Phys.Rev.
1035,JHEP
1037,JHEP
104003,Nucl.Phys.
104007,Phys.Rev.
104008,J.Phys.
104009,Phys.Rev.
104010,JHEP
104012,Phys.Rev.Lett.
104013,Nucl.Phys.Proc.Suppl.
104017,JHEP
104018,Prog.Theor.Phys.
104021,Nucl.Phys.
104022,Phys.Rev.
104023,JHEP
104025,Theor.Math.Phys.
104026,Nucl.Phys.
104027,Class.Quant.Grav.
104037,JHEP
104038,Phys.Lett.
104039,JHEP
104040,Phys.Rev.
104042,JHEP
104045,JHEP
104046,JHEP
104047,JHEP
104051,Nucl.Phys.Proc.Suppl.
104052,J.Math.Phys.
104056,Phys.Rev.
104057,Phys.Lett.
104064,Nucl.Phys.
104066,Phys.Rev.Lett.
104068,Phys.Rev.
104069,Nucl.Phys.
104071,Phys.Rev.
104075,Nucl.Phys.
104084,JHEP
104091,Phys.Lett.
104094,Nucl.Phys.
104097,JHEP
104098,Phys.Lett.
104099,Phys.Rev.
104101,Phys.Rev.
104104,Phys.Rev.
104105,Nucl.Phys.
104106,JHEP
104108,J.Math.Phys.
104109,Theor.Math.Phys.
104110,JHEP
104112,JHEP
104113,JHEP
104115,Nucl.Phys.
104116,Int.J.Mod.Phys.
104120,Nucl.Phys.
104121,Class.Quant.Grav.
104124,JHEP
104125,JHEP
104126,Nucl.Phys.
104131,Nucl.Phys.
104132,Phys.Rev.
104135,Phys.Rev.
104136,JHEP
104137,Phys.Rev.
104141,Nucl.Phys.
104143,JHEP
104150,Phys.Rev.
104152,Phys.Lett.
104153,Eur.Phys.J.
104154,JHEP
104158,Class.Quant.Grav.
104162,Annals
104163,Mod.Phys.Lett.
104164,Phys.Lett.
104165,Phys.
104166,Phys.Rev.
104167,Phys.Rev.
104168,JHEP
104171,Phys.Rev.
104172,JHEP
104175,Mod.Phys.Lett.
104177,Phys.Rev.
104178,Nucl.Phys.Proc.Suppl.
104179,Phys.Rev.
104180,JHEP
104184,Phys.Lett.
104185,Phys.Rev.
104195,Phys.Rev.
104196,Nucl.Phys.Proc.Suppl.
104197,Nucl.Phys.
104198,Phys.Rev.
104199,Nucl.Phys.
1041,JHEP
104201,Phys.Rev.
104202,JHEP
104204,J.Phys.
104206,Nucl.Phys.
104208,Class.Quant.Grav.
104211,JHEP
104215,Phys.Lett.
104216,J.Phys.
104217,JHEP
104221,Int.J.Mod.Phys.
104223,Class.Quant.Grav.
104224,Mod.Phys.Lett.
104225,Phys.Rev.
104226,Phys.Lett.
104227,Nucl.Phys.
104228,Phys.Rev.
104229,JHEP
104231,Nucl.Phys.Proc.Suppl.
104232,Phys.Rev.
104234,Phys.Rev.
104236,JHEP
104240,Nucl.Phys.
104242,Phys.Lett.
104243,JHEP
104244,Phys.Lett.
104247,JHEP
104249,Nucl.Phys.Proc.Suppl.
104250,Phys.Lett.
104254,Nucl.Phys.
104257,Phys.Rev.
104259,JHEP
104261,Mod.Phys.Lett.
104262,Phys.Rev.
1042,Acta
1046,Annals
105005,Nucl.Phys.
105006,Nucl.Phys.
105007,Phys.Rev.
105009,Phys.Lett.
105010,Phys.Rev.
105011,Phys.Lett.
105012,Phys.Lett.
105013,Mod.Phys.Lett.
105018,Phys.Lett.
105022,Mod.Phys.Lett.
105023,Nucl.Phys.
105029,Phys.Rev.
105032,Phys.Rev.
105036,Mod.Phys.Lett.
105037,Phys.Lett.
105038,JHEP
105040,Class.Quant.Grav.
105046,Nucl.Phys.
105047,Phys.Rev.
105048,JHEP
105049,JHEP
105050,JHEP
105052,Mod.Phys.Lett.
105058,JHEP
105060,Phys.Rev.
105062,Nucl.Phys.
105063,JHEP
105065,Mod.Phys.Lett.
105066,Nucl.Phys.
105075,JHEP
105079,Nucl.Phys.
105082,Phys.Rev.Lett.
105083,Class.Quant.Grav.
105084,JHEP
105085,Phys.Lett.
105087,Nucl.Phys.
105088,Phys.Lett.
105092,Phys.Lett.
105093,Phys.Lett.
105094,Phys.Rev.
105095,Phys.Rev.
105096,Nucl.Phys.
105100,Phys.Rev.
105106,Phys.Rev.
105107,Commun.Math.Phys.
105108,Phys.Rev.Lett.
105110,Phys.Rev.
105111,Phys.Rev.Lett.
105112,Phys.Lett.
105115,Phys.Rev.
105117,Int.J.Mod.Phys.
105118,Phys.Lett.
105120,Phys.Rev.
105127,Phys.Rev.
105128,Phys.Rev.
105129,JHEP
105134,Nucl.Phys.
105135,Nucl.Phys.
105136,Nucl.Phys.
105138,Nucl.Phys.
105141,Phys.Lett.
105142,Phys.Lett.
105143,Phys.Lett.
105149,Phys.Lett.
105151,Nucl.Phys.
105154,JHEP
105155,JHEP
105161,Phys.Lett.
105168,JHEP
105169,Phys.Lett.
105170,JHEP
105173,Prog.Theor.Phys.
105174,Nucl.Phys.
105175,Phys.Lett.
105180,JHEP
105182,Phys.Rev.
105183,Phys.Rev.
105184,JHEP
105186,Phys.Rev.
105187,Phys.Lett.
105188,JHEP
105189,Mod.Phys.Lett.
105190,Phys.Lett.
105191,Phys.Rev.
105196,Phys.Lett.
105199,JHEP
105201,J.Phys.
105205,Phys.Lett.
105210,Theor.Math.Phys.
105211,Phys.Rev.
105214,Phys.Rev.
105215,Int.J.Mod.Phys.
105219,Phys.Rev.
105220,Phys.Rev.
105221,Phys.Lett.
105223,J.Math.Phys.
105224,Phys.Lett.
105235,JHEP
105236,Class.Quant.Grav.
105237,Nucl.Phys.
105238,JHEP
105243,Int.J.Mod.Phys.
105245,JHEP
105246,Nucl.Phys.
105249,Mod.Phys.Lett.
105250,Phys.Rev.
105253,JHEP
105254,Nucl.Phys.
105255,Nucl.Phys.
105259,Commun.Math.Phys.
105261,Phys.Rev.
105263,Prog.Theor.Phys.
105269,Phys.Lett.
105270,Nucl.Phys.
105271,Phys.Lett.
105274,JHEP
105277,Nucl.Phys.
105283,Mod.Phys.Lett.
105284,JHEP
105286,JHEP
105288,Phys.Lett.
105289,Theor.Math.Phys.
105296,Phys.Rev.
105298,JHEP
105299,Phys.Lett.
105306,Nucl.Phys.
105308,JHEP
105309,JHEP
105310,Nucl.Phys.
105311,Phys.Rev.
105313,Phys.Lett.
105314,Phys.Rev.
105317,J.Phys.
105319,JHEP
1055,JHEP
1056,Adv.Theor.Math.Phys.
1057,Phys.Rev.
106001,Phys.Rev.
106003,Lett.Math.Phys.
106004,Nucl.Phys.
106011,JHEP
106012,JHEP
106014,Phys.Rev.
106016,Phys.Rev.
106018,Phys.Rev.
106019,Nucl.Phys.
106020,Int.J.Mod.Phys.
106022,Phys.Rev.
106023,JHEP
106024,JHEP
106025,Mod.Phys.Lett.
106027,Phys.Lett.
106028,Class.Quant.Grav.
106030,Phys.Rev.
106032,Phys.Lett.
106034,Nucl.Phys.
106037,Int.J.Theor.Phys.
106041,Phys.Rev.
106042,JHEP
106047,Phys.Lett.
106050,JHEP
106051,Prog.Theor.Phys.
106053,Phys.Rev.
106054,Phys.Rev.
106055,Phys.Lett.
106057,J.Phys.
106058,Phys.Rev.
106060,Phys.Lett.
106061,JHEP
106062,Nucl.Phys.
106063,Prog.Theor.Phys.
106068,JHEP
106069,Nucl.Phys.
106070,Nucl.Phys.
106071,J.Phys.
106076,Phys.Rev.
106079,JHEP
106082,JHEP
106087,Mod.Phys.Lett.
106089,J.Phys.
106095,Phys.Lett.
106096,Nucl.Phys.
106097,Phys.Rev.
1060,Phys.Rev.
106102,Phys.Lett.
106108,Phys.Lett.
106110,Lett.Math.Phys.
106113,JHEP
106117,Phys.Rev.
106118,Mod.Phys.Lett.
106126,Nucl.Phys.
106131,Phys.Rev.
106133,Phys.Rev.
106135,Phys.Lett.
106138,Phys.Lett.
106139,Lett.Math.Phys.
106140,JHEP
106142,Phys.Lett.
106143,Phys.Rev.Lett.
106144,Phys.Rev.Lett.
106149,Phys.Rev.
106151,Phys.Rev.
106155,Nucl.Phys.
106159,JHEP
106161,Nucl.Phys.
106162,Class.Quant.Grav.
106163,Phys.Rev.
106165,Phys.Rev.
106167,Mod.Phys.Lett.
106168,Nucl.Phys.
106171,JHEP
106174,Phys.Rev.Lett.
106175,Int.J.Mod.Phys.
106176,Nucl.Phys.
106179,Phys.Rev.
106180,JHEP
106182,Phys.Lett.
106183,Prog.Theor.Phys.
106185,Phys.Rev.
106187,Phys.Lett.
106188,JHEP
106189,Phys.Rev.
106197,Nucl.Phys.
106199,Phys.Lett.
106201,JHEP
106203,Phys.Rev.
106205,JHEP
106206,Nucl.Phys.
106211,Nucl.Phys.
106213,JHEP
106215,J.Phys.
106217,JHEP
106218,Class.Quant.Grav.
106219,Phys.Lett.
106220,Phys.Rev.
106226,Phys.Rev.
106232,Mod.Phys.Lett.
106233,Phys.Lett.
106235,JHEP
106237,Mod.Phys.Lett.
106238,Phys.Lett.
106239,Int.J.Mod.Phys.
106241,Phys.Rev.
106242,JHEP
106243,JHEP
106252,Phys.Lett.
106254,Phys.Lett.
106255,Phys.Rev.
106257,Phys.Rev.
106262,Adv.Theor.Math.Phys.
106263,Phys.Rev.
106265,Phys.Rev.
106266,Nucl.Phys.
106271,JHEP
106276,JHEP
106277,Int.J.Theor.Phys.
106280,Mod.Phys.Lett.
106281,Nucl.Phys.
106282,Nucl.Phys.
1063,Phys.Lett.
1066,JHEP
1068,JHEP
107001,J.Geom.Phys.
107005,Nucl.Phys.Proc.Suppl.
107007,Mod.Phys.Lett.
107011,Phys.Rev.
107013,Phys.Rev.
107014,Mod.Phys.Lett.
107016,JHEP
107019,Class.Quant.Grav.
107021,Class.Quant.Grav.
107027,Phys.Rev.
107029,JHEP
107030,Phys.Lett.
107031,Phys.Rev.
107033,J.Math.Phys.
107039,Phys.Lett.
107040,Phys.Lett.
107041,Phys.Lett.
107042,JHEP
107045,Int.J.Mod.Phys.
107048,Phys.Lett.
107049,Phys.Rev.
107050,J.Phys.
107052,J.Phys.
107053,Phys.
107056,J.Geom.Phys.
107057,Nucl.Phys.
107058,Phys.
107059,Int.J.Mod.Phys.
107060,Phys.Rev.
107061,Phys.Lett.
107065,Mod.Phys.Lett.
107070,JHEP
107071,Nucl.Phys.
107072,JHEP
107073,Eur.Phys.J.
107074,JHEP
107075,Phys.Lett.
107076,Int.J.Mod.Phys.
107081,Nucl.Phys.
107082,Nucl.Phys.
107083,Nucl.Phys.Proc.Suppl.
107084,JHEP
107088,Phys.Rev.
107089,Nucl.Phys.Proc.Suppl.
107090,Nucl.Phys.
107091,Phys.Rev.
107092,Nucl.Phys.
107093,Phys.Lett.
107096,Nucl.Phys.
107097,JHEP
107098,Phys.Rev.
107100,Phys.Lett.
107101,JHEP
107103,Nucl.Phys.
107104,Mod.Phys.Lett.
107107,Int.J.Theor.Phys.
107108,Class.Quant.Grav.
107111,JHEP
107113,Nucl.Phys.
107114,Phys.Lett.
107115,JHEP
107116,Nucl.Phys.
107118,JHEP
107120,Phys.Rev.
107121,Commun.Math.Phys.
107122,Phys.
107126,Class.Quant.Grav.
107127,Phys.Rev.
107130,Phys.Rev.
107137,Phys.Rev.
107138,Nucl.Phys.
107143,Phys.Rev.Lett.
107145,Phys.Lett.
107146,Lett.Math.Phys.
107147,Nucl.Phys.
107149,JHEP
107150,Phys.Rev.
107155,Phys.Rev.
107156,Phys.Lett.
107160,Int.J.Mod.Phys.
107163,Int.J.Mod.Phys.
107164,JHEP
107165,JHEP
107166,Nucl.Phys.
107170,J.Phys.
107173,Phys.Rev.
107175,Phys.Rev.
107177,Adv.Theor.Math.Phys.
107178,JHEP
107185,JHEP
107188,Phys.Rev.
107189,Prog.Theor.Phys.
107195,JHEP
107197,Nucl.Phys.
107198,Phys.Rev.
107204,Nucl.Phys.
107205,J.Math.Phys.
107209,Nucl.Phys.
107210,Int.J.Mod.Phys.
107212,Nucl.Phys.
107214,Phys.Rev.Lett.
107215,JHEP
107216,Phys.Lett.
107217,JHEP
107223,Phys.Lett.
107226,Phys.Rev.
107229,Phys.Lett.
107233,Phys.Rev.
107234,Phys.Lett.
107236,Annals
107240,Phys.Rev.
107242,Nucl.Phys.
107243,Phys.Rev.
107246,Annals
107247,Nucl.Phys.
107248,J.Math.Phys.
107250,Phys.Rev.Lett.
107252,Class.Quant.Grav.
107254,Class.Quant.Grav.
107257,Phys.Lett.
107258,Annals
107261,JHEP
107264,JHEP
107265,JHEP
1072,Phys.Rev.
1074,J.Math.Phys.
1076,Nucl.Phys.Proc.Suppl.
108001,Phys.Rev.
108002,Int.J.Mod.Phys.
108003,Phys.Rev.
108004,Nucl.Phys.Proc.Suppl.
108009,Nucl.Phys.
108015,Adv.Theor.Math.Phys.
108016,Nucl.Phys.
108017,JHEP
108021,Int.J.Mod.Phys.
108022,Phys.Lett.
108024,Phys.Rev.
108025,Phys.Rev.
108029,Phys.Rev.
108032,Nucl.Phys.Proc.Suppl.
108035,JHEP
108039,Nucl.Phys.
108040,Phys.Rev.
108042,Nucl.Phys.
108043,J.Geom.Phys.
108045,Eur.Phys.J.
108047,Phys.Lett.
108052,JHEP
108053,Phys.Rev.
108054,J.Phys.
108056,Phys.Rev.
108057,Phys.Lett.
108058,Phys.Lett.
108063,Nucl.Phys.
108068,Phys.Lett.
108070,Phys.Rev.
108071,Phys.Lett.
108073,Phys.Rev.
108075,JHEP
108077,Int.J.Mod.Phys.
108080,Phys.Lett.
108084,Nucl.Phys.
108085,JHEP
108090,JHEP
108091,Phys.Lett.
108092,Mod.Phys.Lett.
108093,JHEP
108095,Phys.Lett.
108096,JHEP
108098,Phys.Rev.
1080,Phys.Rev.
108105,Phys.Lett.
108106,Nucl.Phys.
108107,Mod.Phys.Lett.
108111,Phys.Lett.
108117,Nucl.Phys.
108118,Phys.Lett.
108121,Phys.Lett.
108126,Nucl.Phys.
108129,Phys.Rev.
108131,Phys.Lett.
108135,JHEP
108137,JHEP
108142,Nucl.Phys.
108145,Class.Quant.Grav.
108147,Mod.Phys.Lett.
108149,Nucl.Phys.
108150,JHEP
108151,Mod.Phys.Lett.
108152,JHEP
108153,Phys.Lett.
108157,Nucl.Phys.
108158,Phys.Rev.
108161,JHEP
108163,Phys.Rev.
108167,JHEP
108169,JHEP
108172,Phys.Rev.
108173,Nucl.Phys.
108174,Phys.Rev.Lett.
108176,Nucl.Phys.
108178,Phys.Lett.
108181,JHEP
108182,JHEP
108184,Nucl.Phys.
108185,Nucl.Phys.
108187,Phys.Rev.
108188,J.Phys.
108191,Nucl.Phys.
108194,Class.Quant.Grav.
108197,Mod.Phys.Lett.
108198,Phys.Rev.
1081,J.Math.Phys.
108202,JHEP
108204,Class.Quant.Grav.
108208,Phys.Rev.
108210,Mod.Phys.Lett.
108213,J.Math.Phys.
108215,JHEP
108218,Phys.Lett.
108220,Nucl.Phys.
108221,Nucl.Phys.
108222,Mod.Phys.Lett.
108223,Mod.Phys.Lett.
108227,Phys.Lett.
108229,Adv.Theor.Math.Phys.
108230,Phys.Lett.
108232,Phys.Rev.
108234,Nucl.Phys.
108238,JHEP
108240,Phys.Rev.
108242,Phys.Lett.
108243,Nucl.Phys.
108245,Phys.Rev.
1082,Nucl.Phys.
1083,JHEP
1088,Phys.Rev.
1089,Nucl.Phys.
109004,JHEP
109005,Adv.Theor.Math.Phys.
109006,Eur.Phys.J.
109008,J.Phys.
109009,Phys.Lett.
109010,Nucl.Phys.
109011,J.Math.Phys.
109013,JHEP
109014,Annals
109017,Phys.Rev.
109019,Nucl.Phys.
109021,Nucl.Phys.
109022,Phys.Lett.
109024,Phys.Rev.
109025,Nucl.Phys.
109028,Mod.Phys.Lett.
109031,Phys.Rev.
109035,Prog.Theor.Phys.
109036,J.Math.Phys.
109038,Phys.Rev.
109039,Phys.Rev.
109041,Phys.Lett.
109050,Phys.Rev.
109051,Phys.Lett.
109053,JHEP
109054,JHEP
109057,JHEP
109059,Nucl.Phys.
109060,Phys.Rev.
109062,Int.J.Mod.Phys.
109063,JHEP
109064,JHEP
109065,JHEP
109066,Mod.Phys.Lett.
109067,Phys.Lett.
109070,Phys.Rev.
109076,JHEP
109080,Phys.Lett.
109082,JHEP
109084,JHEP
109086,Phys.Lett.
109090,JHEP
109096,JHEP
1090,Phys.Lett.
109101,Phys.Rev.
109102,JHEP
109108,Phys.Lett.
109111,JHEP
109120,Phys.Rev.Lett.
109123,Phys.Lett.
109125,Nucl.Phys.
109126,Nucl.Phys.
109127,JHEP
109128,Phys.Rev.
109129,Phys.Rev.
109131,Prog.Theor.Phys.
109133,Phys.Rev.
109134,J.Math.Phys.
109135,Class.Quant.Grav.
109136,J.Math.Phys.
109138,Phys.Lett.
109140,Phys.Lett.
109141,Phys.Rev.
109142,J.Math.Phys.
109143,Phys.Lett.
109146,Phys.Rev.
109150,JHEP
109153,Class.Quant.Grav.
109154,Nucl.Phys.
109156,Nucl.Phys.
